ID;Categoría;Bloque;Regla;Umbral actual;Nivel;Precondiciones;Mensaje en pantalla;Mantener / Cambiar / Quitar;Nuevo umbral propuesto;Nuevo nivel propuesto;Notas del equipo
T16;Técnico;Peor par;Par con WR notablemente por debajo del global;WR par < WR global - 10 pp (y > -20 pp);⏳ WARNING;G03;"Peor par: X — Y% WR. Reduce o elimina";;;;
T17;Técnico;Peor franja horaria;Franja con WR muy por debajo del global;WR franja < WR global - 15 pp;🛑 DANGER;G04;"Peor franja: X — Y% WR. Evita o reduce tamaño";;;;
T18;Técnico;Peor franja horaria;Franja con WR notablemente por debajo del global;WR franja < WR global - 8 pp (y > -15 pp);⏳ WARNING;G04;"Peor franja: X — Y% WR. Evita o reduce tamaño";;;;
T19;Técnico;RR medio;RR medio por debajo del objetivo de la casa;RR medio < 2.0;⏳ WARNING;G05;"RR medio X bajo objetivo 1:2. Trabaja parciales y trailing";;;;
T20;Técnico;RR medio (INSIGHT);RR medio cumple el objetivo;RR medio ≥ 2.0;✅ INSIGHT;G05;"RR medio X cumple objetivo 1:2. Buena gestión";;;;
T21;Técnico;Cobertura emocional;Porcentaje de trades con sensación registrada (bajo);< 60%;⏳ WARNING;—;"Cobertura emocional baja: X%. Sin esto el diagnóstico emocional pierde valor";;;;
T22;Técnico;Cobertura emocional (INSIGHT);Cobertura alta;≥ 90%;✅ INSIGHT;—;"Cobertura emocional alta: X%. Excelente disciplina";;;;
T23;Técnico;Días positivos ratio (INSIGHT);Ratio de días positivos alto;≥ 60% de días positivos;✅ INSIGHT;G08;"Días positivos: X% — ratio Y:1";;;;
T24;Técnico;Días positivos ratio;Ratio bajo (problema de consistencia);< 50% de días positivos;⏳ WARNING;G08;"Días positivos: solo X% — ratio Y:1. Mejora consistencia diaria";;;;
;;;TÉCNICO — INSIGHTS (positivos);;;;;;;;
T25;Técnico;Mejor par;Par con WR notablemente por encima del global;WR par > WR global + 5 pp;✅ INSIGHT;G03;"Mejor par: X — Y% WR. Concentra operativa aquí";;;;
T26;Técnico;Mejor franja horaria;Franja con WR muy superior;WR franja > WR global + 8 pp;✅ INSIGHT;G04;"Mejor franja: X — Y% WR";;;;
T27;Técnico;Londres vs Nueva York;Comparativa Londres (8-12h) vs Nueva York (14-18h);Diferencia WR ≥ 10 pp (≥ 5 trades en cada sesión);✅ INSIGHT;—;"X es tu mejor sesión — Y% vs Z%";;;;
;;;EMOCIONAL — ALERTAS;;;;;;;;
E01;Emocional;Cobertura mínima emocional;Trades con sensación insuficientes para analizar;< 3 trades con sensación registrada;⏳ WARNING;—;"Pocos datos emocionales (N trades con sensación)";;;;
E02;Emocional;Racha SL misma sensación;Racha activa de SLs con misma sensación NEGATIVA;≥ 3 SL seguidos misma sensación negativa;🛑 DANGER;Trader activo (G01);"Racha activa: N SL seguidos con [sensación]. Estado negativo causando pérdidas — para";;;;
E03;Emocional;Racha SL misma sensación;Racha activa de SLs con misma sensación neutra o positiva;≥ 3 SL seguidos misma sensación neutra/positiva;⏳ WARNING;Trader activo (G01);"Racha activa: N SL seguidos con [sensación]";;;;
E04;Emocional;Última operación;Último trade fue SL desde sensación negativa;Último trade = SL + sensación negativa;⏳ WARNING;Trader activo (G01);"Última operación: SL desde [sensación negativa]. Si la siguiente vas igual, no operes";;;;
E05;Emocional;Peor sensación global;Sensación negativa con WR claramente por debajo de la media emocional;WR sensación < WR emocional - 5 pp + sensación NEGATIVA;🛑 DANGER;G02;"Peor sensación: [X] — Y% WR. Cae Zpp bajo tu media. Si te detectas así, no operes";;;;
E06;Emocional;Peor sensación global;Sensación neutra con WR bajo;WR sensación < WR emocional - 5 pp + sensación neutra;⏳ WARNING;G02;Idem mensaje pero con tono más suave;;;;
E07;Emocional;Dudoso-Inseguro específico;"Regla de la casa: ""si dudas no operas""";"≥ 3 trades en ""Dudoso-Inseguro"" + WR < WR emocional - 5 pp";🛑 DANGER;G02;"""Dudoso-Inseguro"" — X% WR. Si hay duda no se opera";;;;
E08;Emocional;Por estrategia - peor sensación;Sensación negativa con WR muy bajo en una estrategia concreta;WR sensación < WR estrategia - 8 pp + sensación NEGATIVA;🛑 DANGER;G02 + ≥ 3 trades en la estrategia;"X — peor sensación [Y] (Z% WR). Evita esta estrategia desde este estado";;;;
E09;Emocional;Por estrategia - peor sensación;Sensación neutra/positiva con WR bajo en una estrategia;WR sensación < WR estrategia - 8 pp + neutra/positiva;⏳ WARNING;G02 + ≥ 3 trades en la estrategia;Idem con tono más suave;;;;
E10;Emocional;Positivos vs negativos invertido;Operas igual o peor desde estados positivos que negativos (anomalía);WR positivos ≤ WR negativos;⏳ WARNING;≥ 3 trades positivos y ≥ 3 negativos;"Algo no encaja. Revisa si confundes etiquetas o si el problema es técnico, no emocional";;;;
;;;EMOCIONAL — INSIGHTS (positivos);;;;;;;;
E11;Emocional;Mejor sensación global;Sensación con WR muy superior a la media emocional;WR sensación > WR emocional + 5 pp;✅ INSIGHT;G02;"Mejor sensación: [X] — Y% WR. Cuando estés así, opera con confianza";;;;
E12;Emocional;Positivos > negativos;Diferencia positiva entre estados positivos y negativos;WR positivos > WR negativos;✅ INSIGHT;≥ 3 trades positivos y ≥ 3 negativos;"Estados positivos X% WR vs negativos Y% WR. Ganas Zpp operando positivo";;;;
E13;Emocional;Por estrategia - mejor sensación;Sensación con WR muy alto en una estrategia;WR sensación > WR estrategia + 8 pp;✅ INSIGHT;G02 + ≥ 3 trades en la estrategia;"X — mejor sensación [Y] (Z% WR)";;;;
